n max_temp min_temp
1 2.3 -7.5
2 1.6 -7.5
3 1.3 -7.2
4 -0.3 -6.5
5 5.6 -1.4
6 8.3 -6.6
7 8.5 -5.3
8 5.8 5.3
9 5.2 1.6
10 4.9 1.4
11 2.9 0.3
12 2 -2
13 4.3 -7.1
14 6.7 -5.6
15 2.6 4.1
16 1.9 1.6
17 3 -0.2
18 7.2 -1.4
19 3.5 -1
20 0.3 -1.8
21 2.9 -2.3
22 5.6 -5.6
23 2.8 -4.5
24 1.6 -1.1
25 4.5 -5.2
26 4.8 -4.4
27 4 -1
28 7.3 -2.6
29 9.1 -3.1
30 4 1.2
31 5.9 1.5
32 4.5 -4.1
33 6 -1.2
34 4 1.4
35 6.8 -1.6
36 4 0.3
37 3.5 0.8
38 2.9 2.1
39 5.4 1.9
40 8.1 0.3
41 0.2 0.3
42 -0.8 -0.7
43 0.6 -3.7
44 -0.8 -3.1
45 0.7 -1.5
46 1.9 -1.8
47 2.8 -0.9
48 7.4 0.6
49 8.7 1.2
50 5.5 0.2
51 6.9 0.3
52 6.7 -3.4
53 6.1 -1.5
54 9.7 2.7
55 11.9 -2.7
56 12.6 1.6
57 10.5 9.4
58 11 4.3
59 9 -0.1
60 9.4 3.6
61 10.5 1.9
62 11 0.7
63 11.5 4.5
64 13.8 0
65 10.7 2.7
66 4.9 3.7
67 3.8 4.4
68 2.5 1.8
69 1.3 1.2
70 6.9 0.1
71 9.1 0.1
72 6.1 1.1
73 11 2.4
74 8.5 3
75 9.6 2.9
76 9.2 0.5
77 11.5 -3
78 15.3 -1.6
79 8 5
80 11.3 4.3
81 8.1 3
82 7.6 1.4
83 7.6 1.9
84 10.6 3.4
85 11.6 0.3
86 8.3 4.5
87 8.6 0.5
88 7.9 -1.1
89 8 0
90 7.9 0
91 9.8 -1.7
92 9.3 1.8
93 13.7 4.2
94 16.1 5.3
95 15.9 7.5
96 12.8 10.3
97 17.5 7.4
98 21.7 8
99 22.4 8.6
100 15.2 8.2
101 9 7.4
102 13.2 5.6
103 14.5 1.2
104 12.7 5.9
105 12.3 8.4
106 13.5 3.7
107 13.5 3.9
108 11.5 8.4
109 11.4 6.5
110 12 3.5
111 12 5.2
112 12.6 6.6
113 13.9 6.9
114 10.9 2.1
115 7.5 5.5
116 8 3.8
117 10 1.1
118 9.1 -0.9
119 11.1 -0.3
120 12.4 1.7
121 15 1
122 16 3.9
123 15.6 6.4
124 13.6 4.5
125 16.1 7.3
126 20.8 9.2
127 23.4 11.2
128 26.1 11.5
129 26.2 10.9
130 22.5 12.9
131 15.2 12.4
132 16 8.5
133 17.2 8.3
134 14 4.6
135 15.1 8.5
136 15.8 8.4
137 14.3 7.6
138 14.6 9.4
139 13.4 7.3
140 15.5 5.4
141 15.9 6.6
